prediction_date,ticker,predicted_value,confidence_score,actual_future_result,hit_miss,model_name,target_name,task_type,evaluation_window,technical_state_summary,news_sentiment_summary,benchmark_strength_summary,explanation
2024-08-28,BRK-B,1.0,0.7788173773690079,1,hit,random_forest,target_5d_updown,classification,1,"Technical state looks mixed. RSI is elevated near 75.5, so chasing strength may add risk. MACD remains on the bullish side.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return 2.27%; 3-month excess return 8.89%.,"Model view: the setup leaned constructive. Confidence was around 78%. Technical state looks mixed. RSI is elevated near 75.5, so chasing strength may add risk. MACD remains on the bullish side. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return 2.27%; 3-month excess return 8.89%."
2024-08-29,BRK-B,1.0,0.6190647893772894,0,miss,random_forest,target_5d_updown,classification,1,"Technical state looks mixed. RSI is elevated near 77.3, so chasing strength may add risk. MACD remains on the bullish side.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return 5.37%; 3-month excess return 7.80%.,"Model view: the setup leaned constructive. Confidence was around 62%. Technical state looks mixed. RSI is elevated near 77.3, so chasing strength may add risk. MACD remains on the bullish side. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return 5.37%; 3-month excess return 7.80%."
2024-08-30,BRK-B,1.0,0.5289903846153846,0,miss,random_forest,target_5d_updown,classification,1,"Technical state looks mixed. RSI is elevated near 80.5, so chasing strength may add risk. MACD remains on the bullish side.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return 6.41%; 3-month excess return 7.95%.,"Model view: the setup leaned constructive. Confidence was around 53%. Technical state looks mixed. RSI is elevated near 80.5, so chasing strength may add risk. MACD remains on the bullish side. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return 6.41%; 3-month excess return 7.95%."
2024-09-03,BRK-B,0.0,0.565625,0,hit,random_forest,target_5d_updown,classification,1,"Technical state looks mixed. RSI is elevated near 80.9, so chasing strength may add risk. MACD remains on the bullish side. Volatility is relatively contained at roughly 10.2%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return 7.71%; 3-month excess return 10.34%.,"Model view: the setup leaned cautious. Confidence was around 57%. Technical state looks mixed. RSI is elevated near 80.9, so chasing strength may add risk. MACD remains on the bullish side. Volatility is relatively contained at roughly 10.2%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return 7.71%; 3-month excess return 10.34%."
2024-09-04,BRK-B,0.0,0.565625,0,hit,random_forest,target_5d_updown,classification,1,"Technical state looks mixed. RSI is elevated near 81.5, so chasing strength may add risk. MACD remains on the bullish side. Volatility is relatively contained at roughly 9.0%.",No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return 9.13%; 3-month excess return 12.63%.,"Model view: the setup leaned cautious. Confidence was around 57%. Technical state looks mixed. RSI is elevated near 81.5, so chasing strength may add risk. MACD remains on the bullish side. Volatility is relatively contained at roughly 9.0%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return 9.13%; 3-month excess return 12.63%."
2024-09-05,BRK-B,0.0,0.5023188405797101,0,hit,random_forest,target_5d_updown,classification,1,Technical state looks mixed. RSI is in a steady zone near 62.7. MACD remains on the bullish side.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return 4.90%; 3-month excess return 10.69%.,Model view: the setup leaned cautious. Confidence was around 50%. Technical state looks mixed. RSI is in a steady zone near 62.7. MACD remains on the bullish side. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return 4.90%; 3-month excess return 10.69%.
2024-09-06,BRK-B,1.0,0.6493798773690078,0,miss,random_forest,target_5d_updown,classification,1,Technical state looks mixed. RSI is in a steady zone near 57.0. MACD remains on the bullish side.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return 3.38%; 3-month excess return 10.70%.,Model view: the setup leaned constructive. Confidence was around 65%. Technical state looks mixed. RSI is in a steady zone near 57.0. MACD remains on the bullish side. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return 3.38%; 3-month excess return 10.70%.
2024-09-09,BRK-B,1.0,0.7333715062111803,0,miss,random_forest,target_5d_updown,classification,1,Technical state looks mixed. RSI is in a steady zone near 57.2. MACD remains on the bearish side.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return 3.53%; 3-month excess return 8.76%.,Model view: the setup leaned constructive. Confidence was around 73%. Technical state looks mixed. RSI is in a steady zone near 57.2. MACD remains on the bearish side. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return 3.53%; 3-month excess return 8.76%.
2024-09-10,BRK-B,1.0,0.7329868908265648,0,miss,random_forest,target_5d_updown,classification,1,Technical state looks mixed. RSI is in a steady zone near 56.4. MACD remains on the bearish side.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return 3.36%; 3-month excess return 9.30%.,Model view: the setup leaned constructive. Confidence was around 73%. Technical state looks mixed. RSI is in a steady zone near 56.4. MACD remains on the bearish side. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return 3.36%; 3-month excess return 9.30%.
2024-09-11,BRK-B,1.0,0.750776397515528,1,hit,random_forest,target_5d_updown,classification,1,Technical state looks mixed. RSI is in a steady zone near 50.4. MACD remains on the bearish side.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return 1.32%; 3-month excess return 7.69%.,Model view: the setup leaned constructive. Confidence was around 75%. Technical state looks mixed. RSI is in a steady zone near 50.4. MACD remains on the bearish side. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return 1.32%; 3-month excess return 7.69%.
