prediction_date,ticker,predicted_value,confidence_score,actual_future_result,hit_miss,model_name,target_name,task_type,evaluation_window,technical_state_summary,news_sentiment_summary,benchmark_strength_summary,explanation
2023-11-07,TSLA,8.187711238523507,,6.854807583215972,hit,linear_regression,target_5d_return,regression,1,Technical state looks mixed. MACD remains on the bullish side. Volatility is elevated at roughly 53.4%.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -15.48%; 3-month excess return -6.26%; 6-month excess return 25.05%.,Model view: the forward return estimate was mildly positive at about 8.19%. Confidence was not explicitly available for this prediction. Technical state looks mixed. MACD remains on the bullish side. Volatility is elevated at roughly 53.4%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -15.48%; 3-month excess return -6.26%; 6-month excess return 25.05%.
2023-11-08,TSLA,11.303569875390098,,9.333211323476508,hit,linear_regression,target_5d_return,regression,1,Technical state looks mixed. MACD remains on the bullish side. Volatility is elevated at roughly 53.4%.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -16.35%; 3-month excess return -7.49%; 6-month excess return 25.86%.,Model view: the forward return estimate was mildly positive at about 11.30%. Confidence was not explicitly available for this prediction. Technical state looks mixed. MACD remains on the bullish side. Volatility is elevated at roughly 53.4%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -16.35%; 3-month excess return -7.49%; 6-month excess return 25.86%.
2023-11-09,TSLA,15.83124940021206,,11.243928512593593,hit,linear_regression,target_5d_return,regression,1,Technical state looks mixed. RSI is weak near 38.5. MACD remains on the bullish side. Volatility is elevated at roughly 55.9%.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -19.59%; 3-month excess return -10.83%; 6-month excess return 16.75%.,Model view: the forward return estimate was mildly positive at about 15.83%. Confidence was not explicitly available for this prediction. Technical state looks mixed. RSI is weak near 38.5. MACD remains on the bullish side. Volatility is elevated at roughly 55.9%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -19.59%; 3-month excess return -10.83%; 6-month excess return 16.75%.
2023-11-10,TSLA,13.986886869115027,,9.154441981838456,hit,linear_regression,target_5d_return,regression,1,Technical state looks mixed. MACD remains on the bullish side. Volatility is elevated at roughly 56.4%.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -18.67%; 3-month excess return -8.81%; 6-month excess return 20.72%.,Model view: the forward return estimate was mildly positive at about 13.99%. Confidence was not explicitly available for this prediction. Technical state looks mixed. MACD remains on the bullish side. Volatility is elevated at roughly 56.4%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -18.67%; 3-month excess return -8.81%; 6-month excess return 20.72%.
2023-11-13,TSLA,10.170129382871965,,5.314916200801045,hit,linear_regression,target_5d_return,regression,1,Technical state looks mixed. MACD remains on the bullish side. Volatility is elevated at roughly 58.8%.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked weak. 1-month excess return -12.94%; 3-month excess return -3.34%; 6-month excess return 27.90%.,Model view: the forward return estimate was mildly positive at about 10.17%. Confidence was not explicitly available for this prediction. Technical state looks mixed. MACD remains on the bullish side. Volatility is elevated at roughly 58.8%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked weak. 1-month excess return -12.94%; 3-month excess return -3.34%; 6-month excess return 27.90%.
2023-11-14,TSLA,12.549325015596468,,1.5963915705619947,hit,linear_regression,target_5d_return,regression,1,Technical state looks mixed. RSI is in a steady zone near 57.2. MACD remains on the bullish side. Volatility is elevated at roughly 63.4%.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return -9.41%; 3-month excess return 3.20%; 6-month excess return 33.21%.,Model view: the forward return estimate was mildly positive at about 12.55%. Confidence was not explicitly available for this prediction. Technical state looks mixed. RSI is in a steady zone near 57.2. MACD remains on the bullish side. Volatility is elevated at roughly 63.4%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return -9.41%; 3-month excess return 3.20%; 6-month excess return 33.21%.
2023-11-15,TSLA,4.732368913983991,,-3.5537760476719638,miss,linear_regression,target_5d_return,regression,1,Technical state looks mixed. RSI is in a steady zone near 59.9. MACD remains on the bullish side. Volatility is elevated at roughly 61.7%.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return -7.84%; 3-month excess return 7.68%; 6-month excess return 31.37%.,Model view: the forward return estimate was mildly positive at about 4.73%. Confidence was not explicitly available for this prediction. Technical state looks mixed. RSI is in a steady zone near 59.9. MACD remains on the bullish side. Volatility is elevated at roughly 61.7%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return -7.84%; 3-month excess return 7.68%; 6-month excess return 31.37%.
2023-11-16,TSLA,7.415834882359349,,0.7962672372583413,hit,linear_regression,target_5d_return,regression,1,Technical state looks mixed. RSI is in a steady zone near 53.7. MACD remains on the bullish side. Volatility is elevated at roughly 53.1%.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return -8.42%; 3-month excess return 5.26%; 6-month excess return 24.65%.,Model view: the forward return estimate was mildly positive at about 7.42%. Confidence was not explicitly available for this prediction. Technical state looks mixed. RSI is in a steady zone near 53.7. MACD remains on the bullish side. Volatility is elevated at roughly 53.1%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return -8.42%; 3-month excess return 5.26%; 6-month excess return 24.65%.
2023-11-17,TSLA,3.1889624767983173,,0.7597092428990093,hit,linear_regression,target_5d_return,regression,1,Technical state looks mixed. RSI is in a steady zone near 54.1. MACD remains on the bullish side. Volatility is elevated at roughly 50.9%.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return 0.72%; 3-month excess return -1.31%; 6-month excess return 22.33%.,Model view: the forward return estimate was mildly positive at about 3.19%. Confidence was not explicitly available for this prediction. Technical state looks mixed. RSI is in a steady zone near 54.1. MACD remains on the bullish side. Volatility is elevated at roughly 50.9%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return 0.72%; 3-month excess return -1.31%; 6-month excess return 22.33%.
2023-11-20,TSLA,3.319637483530145,,4.719861981795415,hit,linear_regression,target_5d_return,regression,1,Technical state looks mixed. RSI is in a steady zone near 54.8. MACD remains on the bullish side. Volatility is elevated at roughly 50.9%.,No recent matched news was found for this ticker/date.,Relative strength versus the benchmark looked mixed. 1-month excess return 3.27%; 3-month excess return -2.65%; 6-month excess return 16.26%.,Model view: the forward return estimate was mildly positive at about 3.32%. Confidence was not explicitly available for this prediction. Technical state looks mixed. RSI is in a steady zone near 54.8. MACD remains on the bullish side. Volatility is elevated at roughly 50.9%. No recent matched news was found for this ticker/date. Relative strength versus the benchmark looked mixed. 1-month excess return 3.27%; 3-month excess return -2.65%; 6-month excess return 16.26%.
